Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,453.3257,NA,12.43470000000000,12.49210000000000,0.00000000000000,0.02020000000000,3.3175,440.8910,12.4347,12.4347,0.0000,0.0180,12.4369,0.2072,12.2297,6.0042,440.8910,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,486.6777,NA,33.35200000000000,33.33030000000000,0.00000000000000,0.11700000000000,3.2958,453.3257,33.3520,33.3520,0.0000,0.0202,33.4488,0.3068,33.1420,-20.8956,453.3257,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,518.4440,NA,31.76630000000000,29.16740000000000,0.00000000000000,0.01860000000000,0.6969,486.6777,31.7663,31.7663,0.0000,0.1170,31.6679,0.1758,31.4921,4.1846,486.6777,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,519.7095,NA,1.26550000000000,4.17710000000000,0.00000000000000,0.06020000000000,3.6085,518.4440,1.2655,1.2655,0.0000,0.0186,1.3071,0.1702,1.1369,27.5892,518.4440,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,530.9704,NA,11.26090000000000,8.33790000000000,0.00000000000000,0.01900000000000,0.6855,519.7095,11.2609,11.2609,0.0000,0.0602,11.2197,0.2479,10.9718,-7.0724,519.7095,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,536.4583,NA,5.48790000000000,8.32840000000000,0.00000000000000,0.01720000000000,3.5260,530.9704,5.4879,5.4879,0.0000,0.0190,5.4861,0.2778,5.2083,2.9325,530.9704,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,549.1581,NA,12.69980000000000,12.49900000000000,0.00000000000000,0.01540000000000,3.3252,536.4583,12.6998,12.6998,0.0000,0.0172,12.6980,0.2509,12.4471,-7.0111,536.4583,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,565.8535,NA,16.69540000000000,16.66890000000000,0.00000000000000,0.01700000000000,3.2987,549.1581,16.6954,16.6954,0.0000,0.0154,16.6970,0.1951,16.5019,-3.9691,549.1581,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,640.0551,NA,74.20160000000000,75.00400000000000,0.00000000000000,0.12130000000000,4.1011,565.8535,74.2016,74.2016,0.0000,0.0170,74.3059,0.4466,73.8593,-58.3086,565.8535,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,657.5381,NA,17.48300000000000,16.68130000000000,0.00000000000000,0.01780000000000,3.2994,640.0551,17.4830,17.4830,0.0000,0.1213,17.3795,0.1948,17.1847,57.5203,640.0551,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,673.9552,NA,16.41710000000000,16.63780000000000,0.00000000000000,0.01220000000000,3.5201,657.5381,16.4171,16.4171,0.0000,0.0178,16.4115,0.1366,16.2749,0.8452,657.5381,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,748.9591,NA,75.00390000000000,75.01309999999999,0.00000000000000,0.02960000000000,3.5293,673.9552,75.0039,75.0039,0.0000,0.0122,75.0213,0.2052,74.8161,-58.5960,673.9552,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,765.5084,NA,16.54930000000000,16.66740000000000,0.00000000000000,0.04470000000000,3.6474,748.9591,16.5493,16.5493,0.0000,0.0296,16.5644,0.2197,16.3447,58.3365,748.9591,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,782.5344,NA,17.02600000000000,16.66060000000000,0.00000000000000,0.01690000000000,3.2820,765.5084,17.0260,17.0260,0.0000,0.0447,16.9982,0.3134,16.6848,-0.1113,765.5084,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,815.9349,NA,33.40050000000000,33.33920000000000,0.00000000000000,0.11680000000000,3.2207,782.5344,33.4005,33.4005,0.0000,0.0169,33.5004,0.3134,33.1870,-16.3132,782.5344,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,853.6467,NA,37.71180000000000,37.49580000000000,0.00000000000000,0.01890000000000,3.0047,815.9349,37.7118,37.7118,0.0000,0.1168,37.6139,0.1940,37.4199,-4.0953,815.9349,NA,NA,NA
